栄養素id,栄養素,食材,100gあたり含有量,単位,一食の目安量g,一食あたり,一日の目安量,割合%,レベル,タグ,食品番号,含有量の出典,基準値の出典,確認メモ
vc,ビタミンC,オレンジ,60.0,mg,130,78.0,100.0,78.0,1,,07040,確認済,2025年版・女性30-49・推奨量,成分表八訂 （かんきつ類） オレンジ ネーブル 砂じょう 生／目安量は暫定
vc,ビタミンC,キウイ,71.0,mg,100,71.0,100,71.0,1,,07054,確認済,2025年版・女性30-49・推奨量,07054 キウイフルーツ 緑肉種 生
vc,ビタミンC,グレープフルーツ,36.0,mg,150,54.0,100.0,54.0,1,,07062,確認済,2025年版・女性30-49・推奨量,成分表八訂 （かんきつ類） グレープフルーツ 白肉種 砂じょう 生／目安量は暫定
vc,ビタミンC,いちご,62.0,mg,80,49.6,100,49.6,1,,07012,確認済,2025年版・女性30-49・推奨量,07012 いちご 生
vc,ビタミンC,みかん,35.0,mg,100,35.0,100.0,35.0,1,,07028,確認済,2025年版・女性30-49・推奨量,成分表八訂 （かんきつ類） うんしゅうみかん 砂じょう 早生 生／目安量は暫定
vc,ビタミンC,キャベツ,41.0,mg,80,32.8,100.0,32.8,1,,06061,確認済,2025年版・女性30-49・推奨量,成分表八訂 （キャベツ類） キャベツ 結球葉 生／目安量は暫定
vc,ビタミンC,さつまいも,29.0,mg,100,29.0,100,29.0,2,,02006,確認済,2025年版・女性30-49・推奨量,02006 ＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 生
vc,ビタミンC,じゃがいも,28.0,mg,100,28.0,100,28.0,2,,02017,確認済,2025年版・女性30-49・推奨量,02017 ＜いも類＞ じゃがいも 塊茎 皮なし 生
vc,ビタミンC,水菜,55.0,mg,50,27.5,100.0,27.5,2,,06072,確認済,2025年版・女性30-49・推奨量,成分表八訂 みずな 葉 生／目安量は暫定
vc,ビタミンC,小松菜,39.0,mg,70,27.3,100,27.3,2,,06086,確認済,2025年版・女性30-49・推奨量,06086 こまつな 葉 生
vc,ビタミンC,ほうれん草,35.0,mg,70,24.5,100,24.5,2,,06267,確認済,2025年版・女性30-49・推奨量,06267 ほうれんそう 葉 通年平均 生
vc,ビタミンC,ピーマン,76.0,mg,30,22.8,100.0,22.8,2,,06245,確認済,2025年版・女性30-49・推奨量,成分表八訂 （ピーマン類） 青ピーマン 果実 生／目安量は暫定
vc,ビタミンC,トマト,15.0,mg,150,22.5,100.0,22.5,2,,06182,確認済,2025年版・女性30-49・推奨量,成分表八訂 （トマト類） 赤色トマト 果実 生／目安量は暫定
vc,ビタミンC,白菜,19.0,mg,100,19.0,100.0,19.0,2,,06233,確認済,2025年版・女性30-49・推奨量,成分表八訂 はくさい 結球葉 生／目安量は暫定
vc,ビタミンC,バナナ,16.0,mg,100,16.0,100,16.0,2,,07107,確認済,2025年版・女性30-49・推奨量,07107 バナナ 生
vc,ビタミンC,枝豆,27.0,mg,50,13.5,100,13.5,2,,06015,確認済,2025年版・女性30-49・推奨量,06015 えだまめ 生
vc,ビタミンC,かぼちゃ,16.0,mg,80,12.8,100,12.8,2,,06046,確認済,2025年版・女性30-49・推奨量,06046 （かぼちゃ類） 日本かぼちゃ 果実 生
vc,ビタミンC,大根,12.0,mg,100,12.0,100.0,12.0,2,,06132,確認済,2025年版・女性30-49・推奨量,成分表八訂 （だいこん類） だいこん 根 皮つき 生／目安量は暫定
vc,ビタミンC,もやし,8.0,mg,80,6.4,100.0,6.4,3,,06291,確認済,2025年版・女性30-49・推奨量,成分表八訂 （もやし類） りょくとうもやし 生／目安量は暫定
vc,ビタミンC,ブルーベリー,9.0,mg,60,5.4,100.0,5.4,3,,07124,確認済,2025年版・女性30-49・推奨量,成分表八訂 ブルーベリー 生／目安量は暫定
vd,ビタミンD,いわし,32.0,µg,80,25.6,9.0,284.4,1,,10047,確認済,2025年版・女性30-49・目安量,成分表八訂 ＜魚類＞ （いわし類） まいわし 生／目安量は暫定
vd,ビタミンD,鮭,32.0,µg,80,25.6,9.0,284.4,1,,10134,確認済,2025年版・女性30-49・目安量,10134 ＜魚類＞ （さけ・ます類） しろさけ 生
vd,ビタミンD,うなぎ,18.0,µg,80,14.4,9.0,160.0,1,,10067,確認済,2025年版・女性30-49・目安量,10067 ＜魚類＞ うなぎ 養殖 生
vd,ビタミンD,さんま,16.0,µg,80,12.8,9.0,142.2,1,,10173,確認済,2025年版・女性30-49・目安量,10173 ＜魚類＞ さんま 皮つき 生
vd,ビタミンD,ぶり,8.0,µg,80,6.4,9.0,71.1,1,,10241,確認済,2025年版・女性30-49・目安量,成分表八訂 ＜魚類＞ ぶり 成魚 生／目安量は暫定
vd,ビタミンD,まぐろ,6.0,µg,80,4.8,9.0,53.3,1,,10252,確認済,2025年版・女性30-49・目安量,10252 ＜魚類＞ （まぐろ類） きはだ 生
vd,ビタミンD,さば,5.1,µg,80,4.08,9.0,45.3,1,,10154,確認済,2025年版・女性30-49・目安量,10154 ＜魚類＞ （さば類） まさば 生
vd,ビタミンD,かつお,4.0,µg,80,3.2,9.0,35.6,1,,10086,確認済,2025年版・女性30-49・目安量,10086 ＜魚類＞ （かつお類） かつお 春獲り 生
vd,ビタミンD,まいたけ,4.9,µg,50,2.45,9.0,27.2,2,,08028,確認済,2025年版・女性30-49・目安量,成分表八訂 まいたけ 生／目安量は暫定
vd,ビタミンD,卵,3.8,µg,50,1.9,9.0,21.1,2,,12004,確認済,2025年版・女性30-49・目安量,12004 鶏卵 全卵 生
vd,ビタミンD,しらす干し,12.0,µg,10,1.2,9.0,13.3,2,,10055,確認済,2025年版・女性30-49・目安量,10055 ＜魚類＞ （いわし類） しらす干し 微乾燥品
vd,ビタミンD,しいたけ,0.3,µg,30,0.09,9.0,1.0,3,,08039,確認済,2025年版・女性30-49・目安量,成分表八訂 しいたけ 生しいたけ 菌床栽培 生／目安量は暫定
ve,ビタミンE,アーモンド,29.0,mg,25,7.25,6.0,120.8,1,,05040,確認済,2025年版・女性30-49・目安量,05040 アーモンド いり 無塩
ve,ビタミンE,うなぎ,7.4,mg,80,5.92,6.0,98.7,1,,10067,確認済,2025年版・女性30-49・目安量,10067 ＜魚類＞ うなぎ 養殖 生
ve,ビタミンE,アボカド,3.3,mg,70,2.31,6.0,38.5,1,,07006,確認済,2025年版・女性30-49・目安量,07006 アボカド 生
ve,ビタミンE,赤ピーマン,4.3,mg,50,2.15,6.0,35.8,1,,06247,確認済,2025年版・女性30-49・目安量,06247 （ピーマン類） 赤ピーマン 果実 生
ve,ビタミンE,玄米,1.2,mg,150,1.8,6.0,30.0,1,,01080,確認済,2025年版・女性30-49・目安量,01080 こめ ［水稲穀粒］ 玄米
ve,ビタミンE,ブロッコリー,3.0,mg,60,1.8,6.0,30.0,1,,06263,確認済,2025年版・女性30-49・目安量,06263 ブロッコリー 花序 生
ve,ビタミンE,マヨネーズ,13.0,mg,12,1.56,6.0,26.0,2,,17042,確認済,2025年版・女性30-49・目安量,17042 ＜調味料類＞ （ドレッシング類） 半固形状ドレッシング マヨネーズ 全卵型
ve,ビタミンE,ピーナッツ,10.0,mg,15,1.5,6.0,25.0,2,,05035,確認済,2025年版・女性30-49・目安量,成分表八訂 らっかせい 大粒種 いり／目安量は暫定
ve,ビタミンE,さつまいも,1.5,mg,100,1.5,6.0,25.0,2,,02006,確認済,2025年版・女性30-49・目安量,02006 ＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 生
ve,ビタミンE,ほうれん草,2.1,mg,70,1.47,6.0,24.5,2,,06267,確認済,2025年版・女性30-49・目安量,06267 ほうれんそう 葉 通年平均 生
ve,ビタミンE,かぼちゃ,1.8,mg,80,1.44,6.0,24.0,2,,06046,確認済,2025年版・女性30-49・目安量,06046 （かぼちゃ類） 日本かぼちゃ 果実 生
ve,ビタミンE,さんま,1.7,mg,80,1.36,6.0,22.7,2,,10173,確認済,2025年版・女性30-49・目安量,10173 ＜魚類＞ さんま 皮つき 生
ve,ビタミンE,キウイ,1.3,mg,100,1.3,6.0,21.7,2,,07054,確認済,2025年版・女性30-49・目安量,07054 キウイフルーツ 緑肉種 生
ve,ビタミンE,大豆,2.3,mg,50,1.15,6.0,19.2,2,,04023,確認済,2025年版・女性30-49・目安量,04023 だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾
ve,ビタミンE,さば,1.3,mg,80,1.04,6.0,17.3,2,,10154,確認済,2025年版・女性30-49・目安量,10154 ＜魚類＞ （さば類） まさば 生
ve,ビタミンE,鮭,1.2,mg,80,0.96,6.0,16.0,2,,10134,確認済,2025年版・女性30-49・目安量,10134 ＜魚類＞ （さけ・ます類） しろさけ 生
ve,ビタミンE,牡蠣,1.3,mg,60,0.78,6.0,13.0,2,,10292,確認済,2025年版・女性30-49・目安量,10292 ＜貝類＞ かき 養殖 生
ve,ビタミンE,オリーブ油,7.4,mg,10,0.74,6.0,12.3,2,,14001,確認済,2025年版・女性30-49・目安量,14001 （植物油脂類） オリーブ油
ve,ビタミンE,卵,1.3,mg,50,0.65,6.0,10.8,3,,12004,確認済,2025年版・女性30-49・目安量,12004 鶏卵 全卵 生
ve,ビタミンE,小松菜,0.9,mg,70,0.63,6.0,10.5,3,,06086,確認済,2025年版・女性30-49・目安量,06086 こまつな 葉 生
vk,ビタミンK,モロヘイヤ,640.0,µg,60,384.0,150.0,256.0,1,,06293,確認済,2025年版・女性30-49・目安量,成分表八訂 モロヘイヤ 茎葉 生／目安量は暫定
vk,ビタミンK,納豆,600.0,µg,45,270.0,150,180.0,1,,04046,確認済,2025年版・女性30-49・目安量,04046 だいず ［納豆類］ 糸引き納豆
vk,ビタミンK,ほうれん草,270.0,µg,70,189.0,150,126.0,1,,06267,確認済,2025年版・女性30-49・目安量,06267 ほうれんそう 葉 通年平均 生
vk,ビタミンK,小松菜,210.0,µg,70,147.0,150,98.0,1,,06086,確認済,2025年版・女性30-49・目安量,06086 こまつな 葉 生
vk,ビタミンK,ブロッコリー,210.0,µg,60,126.0,150,84.0,1,,06263,確認済,2025年版・女性30-49・目安量,06263 ブロッコリー 花序 生
vk,ビタミンK,わかめ,660.0,µg,10,66.0,150,44.0,1,,09040,確認済,2025年版・女性30-49・目安量,09040 わかめ 乾燥わかめ 素干し
vk,ビタミンK,キャベツ,78.0,µg,80,62.4,150.0,41.6,1,,06061,確認済,2025年版・女性30-49・目安量,成分表八訂 （キャベツ類） キャベツ 結球葉 生／目安量は暫定
vk,ビタミンK,水菜,120.0,µg,50,60.0,150.0,40.0,1,,06072,確認済,2025年版・女性30-49・目安量,成分表八訂 みずな 葉 生／目安量は暫定
vk,ビタミンK,ひじき,580.0,µg,8,46.4,150,30.9,1,,09050,確認済,2025年版・女性30-49・目安量,09050 ひじき ほしひじき ステンレス釜 乾
vk,ビタミンK,アスパラガス,43.0,µg,60,25.8,150.0,17.2,2,,06007,確認済,2025年版・女性30-49・目安量,成分表八訂 アスパラガス 若茎 生／目安量は暫定
vk,ビタミンK,鶏もも,29.0,µg,80,23.2,150,15.5,2,,11221,確認済,2025年版・女性30-49・目安量,11221 ＜鳥肉類＞ にわとり ［若どり・主品目］ もも 皮つき 生
vk,ビタミンK,かぼちゃ,26.0,µg,80,20.8,150,13.9,2,,06046,確認済,2025年版・女性30-49・目安量,06046 （かぼちゃ類） 日本かぼちゃ 果実 生
vk,ビタミンK,鶏むね,23.0,µg,80,18.4,150,12.3,2,,11219,確認済,2025年版・女性30-49・目安量,11219 ＜鳥肉類＞ にわとり ［若どり・主品目］ むね 皮つき 生
vk,ビタミンK,枝豆,30.0,µg,50,15.0,150,10.0,3,,06015,確認済,2025年版・女性30-49・目安量,06015 えだまめ 生
vk,ビタミンK,のり,390.0,µg,3,11.7,150.0,7.8,3,,09004,確認済,2025年版・女性30-49・目安量,成分表八訂 あまのり 焼きのり／目安量は暫定
zn,亜鉛,牡蠣,14.0,mg,60,8.4,8.0,105.0,1,,10292,確認済,2025年版・女性30-49・推奨量,10292 ＜貝類＞ かき 養殖 生
zn,亜鉛,牛もも,4.7,mg,100,4.7,8.0,58.8,1,,11048,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜畜肉類＞ うし ［乳用肥育牛肉］ もも 皮下脂肪なし 生／目安量は暫定
zn,亜鉛,豚レバー,6.9,mg,50,3.45,8.0,43,1,,11166,確認済,2025年版・女性30-49・推奨量,豚レバーに統一（増補2023照合）
zn,亜鉛,玄米,1.8,mg,150,2.7,8.0,33.8,1,,01080,確認済,2025年版・女性30-49・推奨量,01080 こめ ［水稲穀粒］ 玄米
zn,亜鉛,豚ひき肉,2.8,mg,80,2.24,8.0,28.0,2,,11163,確認済,2025年版・女性30-49・推奨量,11163 ＜畜肉類＞ ぶた ［ひき肉］ 生
zn,亜鉛,白米,1.4,mg,150,2.1,8.0,26.2,2,,01083,確認済,2025年版・女性30-49・推奨量,01083 こめ ［水稲穀粒］ 精白米 うるち米
zn,亜鉛,ほたて,2.7,mg,60,1.62,8.0,20.2,2,,10311,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜貝類＞ ほたてがい 生／目安量は暫定
zn,亜鉛,豚もも,2.0,mg,80,1.6,8.0,20.0,2,,11130,確認済,2025年版・女性30-49・推奨量,11130 ＜畜肉類＞ ぶた ［大型種肉］ もも 脂身つき 生
zn,亜鉛,大豆,3.1,mg,50,1.55,8.0,19.4,2,,04023,確認済,2025年版・女性30-49・推奨量,04023 だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾
zn,亜鉛,豚ばら,1.8,mg,80,1.44,8.0,18.0,2,,11129,確認済,2025年版・女性30-49・推奨量,11129 ＜畜肉類＞ ぶた ［大型種肉］ ばら 脂身つき 生
zn,亜鉛,豚ロース,1.6,mg,80,1.28,8.0,16.0,2,,11123,確認済,2025年版・女性30-49・推奨量,11123 ＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき 生
zn,亜鉛,鶏もも,1.6,mg,80,1.28,8.0,16.0,2,,11221,確認済,2025年版・女性30-49・推奨量,11221 ＜鳥肉類＞ にわとり ［若どり・主品目］ もも 皮つき 生
zn,亜鉛,うなぎ,1.4,mg,80,1.12,8.0,14.0,2,,10067,確認済,2025年版・女性30-49・推奨量,10067 ＜魚類＞ うなぎ 養殖 生
zn,亜鉛,たこ,1.6,mg,60,0.96,8.0,12.0,2,,10361,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜いか・たこ類＞ （たこ類） まだこ 生／目安量は暫定
zn,亜鉛,アーモンド,3.7,mg,25,0.93,8.0,11.6,3,,05040,確認済,2025年版・女性30-49・推奨量,05040 アーモンド いり 無塩
zn,亜鉛,さば,1.1,mg,80,0.88,8.0,11.0,3,,10154,確認済,2025年版・女性30-49・推奨量,10154 ＜魚類＞ （さば類） まさば 生
zn,亜鉛,納豆,1.9,mg,45,0.85,8.0,10.6,3,,04046,確認済,2025年版・女性30-49・推奨量,04046 だいず ［納豆類］ 糸引き納豆
zn,亜鉛,オートミール,2.1,mg,40,0.84,8.0,10.5,3,,01004,確認済,2025年版・女性30-49・推奨量,01004 えんばく オートミール
zn,亜鉛,カシューナッツ,5.4,mg,15,0.81,8.0,10.1,3,,05005,確認済,2025年版・女性30-49・推奨量,成分表八訂 カシューナッツ フライ 味付け／目安量は暫定
zn,亜鉛,牛乳,0.4,mg,200,0.8,8.0,10.0,3,,13003,確認済,2025年版・女性30-49・推奨量,13003 ＜牛乳及び乳製品＞ （液状乳類） 普通牛乳
b1,ビタミンB1,そば,0.37,mg,80,0.3,0.9,33.3,1,,01129,確認済,2025年版・女性30-49・推奨量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
b6,ビタミンB6,そば,0.24,mg,80,0.19,1.2,15.8,2,,01129,確認済,2025年版・女性30-49・推奨量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
cu,銅,そば,0.34,mg,80,0.27,0.7,38.6,1,,01129,確認済,2025年版・女性30-49・推奨量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
fe,鉄,そば,2.6,mg,80,2.08,10.5,19.8,2,,01129,確認済,2025年版・女性30-49・推奨量（月経あり）,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
fiber,食物繊維,そば,3.7,g,80,2.96,18.0,16.4,2,,01129,確認済,2025年版・女性30-49・目標量（以上）,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
mg,マグネシウム,そば,100.0,mg,80,80.0,290,27.6,2,,01129,確認済,2025年版・女性30-49・推奨量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
na,塩分,そば,2.2,g,80,1.76,6.5,27.1,2,,01129,確認済,"2025年版・女性30-49・目標量（食塩相当量,未満）",成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
niacin,ナイアシン,そば,6.1,mgNE,80,4.88,12,40.7,1,,01129,確認済,2025年版・女性30-49・推奨量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
p,リン,そば,230.0,mg,80,184.0,800,23.0,2,,01129,確認済,2025年版・女性30-49・目安量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
panto,パントテン酸,そば,1.15,mg,80,0.92,5,18.4,2,,01129,確認済,2025年版・女性30-49・目安量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
protein,たんぱく質,そば,14.0,g,80,11.2,50,22.4,2,,01129,確認済,2025年版・女性30-49・推奨量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
se,セレン,そば,24.0,µg,80,19.2,25,76.8,1,,01129,確認済,2025年版・女性30-49・推奨量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
zn,亜鉛,そば,1.5,mg,80,1.2,8.0,15.0,2,,01129,確認済,2025年版・女性30-49・推奨量,成分表増補2023 そば 干しそば 乾（セレンのみ01127生から補完）
cu,銅,うどん,0.11,mg,80,0.09,0.7,12.9,2,,01041,確認済,2025年版・女性30-49・推奨量,成分表増補2023 干しうどん 乾
fiber,食物繊維,うどん,2.4,g,80,1.92,18.0,10.7,3,,01041,確認済,2025年版・女性30-49・目標量（以上）,成分表増補2023 干しうどん 乾
na,塩分,うどん,4.3,g,80,3.44,6.5,52.9,1,,01041,確認済,"2025年版・女性30-49・目標量（食塩相当量,未満）",成分表増補2023 干しうどん 乾
niacin,ナイアシン,うどん,2.5,mgNE,80,2.0,12,16.7,2,,01041,確認済,2025年版・女性30-49・推奨量,成分表増補2023 干しうどん 乾
protein,たんぱく質,うどん,8.5,g,80,6.8,50,13.6,2,,01041,確認済,2025年版・女性30-49・推奨量,成分表増補2023 干しうどん 乾
se,セレン,うどん,10.0,µg,80,8.0,25,32.0,1,,01041,確認済,2025年版・女性30-49・推奨量,成分表増補2023 干しうどん 乾
b1,ビタミンB1,パスタ,0.19,mg,90,0.17,0.9,18.9,2,,01063,確認済,2025年版・女性30-49・推奨量,成分表増補2023 マカロニ・スパゲッティ 乾
cu,銅,パスタ,0.28,mg,90,0.25,0.7,35.7,1,,01063,確認済,2025年版・女性30-49・推奨量,成分表増補2023 マカロニ・スパゲッティ 乾
fe,鉄,パスタ,1.4,mg,90,1.26,10.5,12.0,2,,01063,確認済,2025年版・女性30-49・推奨量（月経あり）,成分表増補2023 マカロニ・スパゲッティ 乾
fiber,食物繊維,パスタ,5.4,g,90,4.86,18.0,27.0,2,,01063,確認済,2025年版・女性30-49・目標量（以上）,成分表増補2023 マカロニ・スパゲッティ 乾
mg,マグネシウム,パスタ,55.0,mg,90,49.5,290,17.1,2,,01063,確認済,2025年版・女性30-49・推奨量,成分表増補2023 マカロニ・スパゲッティ 乾
niacin,ナイアシン,パスタ,4.9,mgNE,90,4.41,12,36.8,1,,01063,確認済,2025年版・女性30-49・推奨量,成分表増補2023 マカロニ・スパゲッティ 乾
p,リン,パスタ,130.0,mg,90,117.0,800,14.6,2,,01063,確認済,2025年版・女性30-49・目安量,成分表増補2023 マカロニ・スパゲッティ 乾
panto,パントテン酸,パスタ,0.65,mg,90,0.58,5,11.6,3,,01063,確認済,2025年版・女性30-49・目安量,成分表増補2023 マカロニ・スパゲッティ 乾
protein,たんぱく質,パスタ,12.9,g,90,11.61,50,23.2,2,,01063,確認済,2025年版・女性30-49・推奨量,成分表増補2023 マカロニ・スパゲッティ 乾
se,セレン,パスタ,63.0,µg,90,56.7,25,226.8,1,,01063,確認済,2025年版・女性30-49・推奨量,成分表増補2023 マカロニ・スパゲッティ 乾
zn,亜鉛,パスタ,1.5,mg,90,1.35,8.0,16.9,2,,01063,確認済,2025年版・女性30-49・推奨量,成分表増補2023 マカロニ・スパゲッティ 乾
sugar,糖質,そば,72.4,g,80,57.92,250.0,23.2,2,,01129,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表増補2023 そば 干しそば 乾
sugar,糖質,うどん,76.8,g,80,61.44,250.0,24.6,2,,01041,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表増補2023 干しうどん 乾
sugar,糖質,パスタ,73.4,g,90,66.06,250.0,26.4,2,,01063,確認済,2025年版・女性30-49・炭水化物目標量50%E×2050kcal÷4で換算,成分表増補2023 マカロニ・スパゲッティ 乾
se,セレン,ぶり,57.0,µg,80,45.6,25.0,182.4,1,,10241,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10241）
folate,葉酸,豚レバー,810.0,µg,50,405.0,240.0,168.8,1,,11166,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番11166）
se,セレン,豚レバー,67.0,µg,50,33.5,25.0,134.0,1,,11166,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番11166）
se,セレン,たら,31.0,µg,80,24.8,25.0,99.2,1,,10205,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10205）
se,セレン,牛もも,20.0,µg,100,20.0,25.0,80.0,1,,11048,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番11048）
niacin,ナイアシン,牛もも,9.4,mgNE,100,9.4,12.0,78.3,1,,11048,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番11048）
ve,ビタミンE,モロヘイヤ,6.5,mg,60,3.9,6.0,65.0,1,,06293,確認済,2025年版・女性30-49・目安量,成分表増補2023照合・取りこぼし追加（品番06293）
se,セレン,えび,27.0,µg,60,16.2,25.0,64.8,1,,10415,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10415）
se,セレン,たこ,22.0,µg,60,13.2,25.0,52.8,1,,10361,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10361）
se,セレン,そうめん,16.0,µg,70,11.2,25.0,44.8,1,,01043,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番01043）
niacin,ナイアシン,いか,6.5,mgNE,80,5.2,12.0,43.3,1,,10345,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10345）
b12,ビタミンB12,のり,56.7,µg,3,1.7,4.0,42.5,1,,09004,確認済,2025年版・女性30-49・目安量,成分表増補2023照合・取りこぼし追加（品番09004）
na,塩分,そうめん,3.8,g,70,2.66,6.5,40.9,1,,01043,確認済,"2025年版・女性30-49・目標量（食塩相当量,未満）",成分表増補2023照合・取りこぼし追加（品番01043）
cu,銅,カシューナッツ,1.89,mg,15,0.28,0.7,40.5,1,,05005,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番05005）
folate,葉酸,とうもろこし,95.0,µg,100,95.0,240.0,39.6,1,,06175,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番06175）
vk,ビタミンK,白菜,59.0,µg,100,59.0,150.0,39.3,1,,06233,確認済,2025年版・女性30-49・目安量,成分表増補2023照合・取りこぼし追加（品番06233）
vc,ビタミンC,モロヘイヤ,65.0,mg,60,39.0,100.0,39.0,1,,06293,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番06293）
cu,銅,木綿豆腐,0.16,mg,150,0.24,0.7,34.3,1,,04032,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番04032）
cu,銅,絹ごし豆腐,0.16,mg,150,0.24,0.7,34.3,1,,04033,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番04033）
cu,銅,豆乳,0.12,mg,200,0.24,0.7,34.3,1,,04052,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番04052）
niacin,ナイアシン,えび,6.8,mgNE,60,4.08,12.0,34.0,1,,10415,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10415）
ve,ビタミンE,いわし,2.5,mg,80,2.0,6.0,33.3,1,,10047,確認済,2025年版・女性30-49・目安量,成分表増補2023照合・取りこぼし追加（品番10047）
cu,銅,いか,0.29,mg,80,0.23,0.7,33.1,1,,10345,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10345）
cu,銅,厚揚げ,0.23,mg,100,0.23,0.7,32.9,1,,04039,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番04039）
b6,ビタミンB6,いわし,0.49,mg,80,0.39,1.2,32.7,1,,10047,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10047）
cu,銅,たこ,0.38,mg,60,0.23,0.7,32.6,1,,10361,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10361）
cu,銅,レンズ豆,0.44,mg,50,0.22,0.7,31.4,1,,04094,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番04094）
b2,ビタミンB2,低脂肪乳,0.18,mg,200,0.36,1.2,30.0,1,,13005,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番13005）
b12,ビタミンB12,牛もも,1.2,µg,100,1.2,4.0,30.0,1,,11048,確認済,2025年版・女性30-49・目安量,成分表増補2023照合・取りこぼし追加（品番11048）
niacin,ナイアシン,たら,4.4,mgNE,80,3.52,12.0,29.3,2,,10205,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10205）
cu,銅,モロヘイヤ,0.33,mg,60,0.2,0.7,28.3,2,,06293,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番06293）
ve,ビタミンE,いか,2.1,mg,80,1.68,6.0,28.0,2,,10345,確認済,2025年版・女性30-49・目安量,成分表増補2023照合・取りこぼし追加（品番10345）
b6,ビタミンB6,ぶり,0.42,mg,80,0.34,1.2,28.0,2,,10241,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10241）
b6,ビタミンB6,牛もも,0.33,mg,100,0.33,1.2,27.5,2,,11048,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番11048）
ve,ビタミンE,ぶり,2.0,mg,80,1.6,6.0,26.7,2,,10241,確認済,2025年版・女性30-49・目安量,成分表増補2023照合・取りこぼし追加（品番10241）
b2,ビタミンB2,スキムミルク,1.6,mg,20,0.32,1.2,26.7,2,,13010,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番13010）
b2,ビタミンB2,いわし,0.39,mg,80,0.31,1.2,26.0,2,,10047,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番10047）
cu,銅,くるみ,1.21,mg,15,0.18,0.7,25.9,2,,05014,確認済,2025年版・女性30-49・推奨量,成分表増補2023照合・取りこぼし追加（品番05014）
