栄養素id,栄養素,食材,100gあたり含有量,単位,一食の目安量g,一食あたり,一日の目安量,割合%,レベル,タグ,食品番号,含有量の出典,基準値の出典,確認メモ
panto,パントテン酸,鶏むね,1.74,mg,80,1.39,5,27.8,2,,11219,確認済,2025年版・女性30-49・目安量,11219 ＜鳥肉類＞ にわとり ［若どり・主品目］ むね 皮つき 生
panto,パントテン酸,ささみ,2.07,mg,60,1.24,5,24.8,2,,11227,確認済,2025年版・女性30-49・目安量,11227 ＜鳥肉類＞ にわとり ［若どり・副品目］ ささみ 生
panto,パントテン酸,牛乳,0.55,mg,200,1.1,5,22.0,2,,13003,確認済,2025年版・女性30-49・目安量,13003 ＜牛乳及び乳製品＞ （液状乳類） 普通牛乳
panto,パントテン酸,アボカド,1.55,mg,70,1.08,5,21.6,2,,07006,確認済,2025年版・女性30-49・目安量,07006 アボカド 生
panto,パントテン酸,鮭,1.27,mg,80,1.02,5,20.4,2,,10134,確認済,2025年版・女性30-49・目安量,10134 ＜魚類＞ （さけ・ます類） しろさけ 生
panto,パントテン酸,白米,0.66,mg,150,0.99,5,19.8,2,,01083,確認済,2025年版・女性30-49・目安量,01083 こめ ［水稲穀粒］ 精白米 うるち米
panto,パントテン酸,豚ひき肉,1.22,mg,80,0.98,5,19.6,2,,11163,確認済,2025年版・女性30-49・目安量,11163 ＜畜肉類＞ ぶた ［ひき肉］ 生
panto,パントテン酸,さつまいも,0.9,mg,100,0.9,5,18.0,2,,02006,確認済,2025年版・女性30-49・目安量,02006 ＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 生
panto,パントテン酸,ブロッコリー,1.42,mg,60,0.85,5,17.0,2,,06263,確認済,2025年版・女性30-49・目安量,06263 ブロッコリー 花序 生
panto,パントテン酸,豚ロース,0.98,mg,80,0.78,5,15.6,2,,11123,確認済,2025年版・女性30-49・目安量,11123 ＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき 生
panto,パントテン酸,大豆,1.36,mg,50,0.68,5,13.6,2,,04023,確認済,2025年版・女性30-49・目安量,04023 だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾
panto,パントテン酸,豚もも,0.84,mg,80,0.67,5,13.4,2,,11130,確認済,2025年版・女性30-49・目安量,11130 ＜畜肉類＞ ぶた ［大型種肉］ もも 脂身つき 生
panto,パントテン酸,鶏もも,0.81,mg,80,0.65,5,13.0,2,,11221,確認済,2025年版・女性30-49・目安量,11221 ＜鳥肉類＞ にわとり ［若どり・主品目］ もも 皮つき 生
panto,パントテン酸,さんま,0.74,mg,80,0.59,5,11.8,3,,10173,確認済,2025年版・女性30-49・目安量,10173 ＜魚類＞ さんま 皮つき 生
panto,パントテン酸,卵,1.16,mg,50,0.58,5,11.6,3,,12004,確認済,2025年版・女性30-49・目安量,12004 鶏卵 全卵 生
panto,パントテン酸,かつお,0.7,mg,80,0.56,5,11.2,3,,10086,確認済,2025年版・女性30-49・目安量,10086 ＜魚類＞ （かつお類） かつお 春獲り 生
panto,パントテン酸,さば,0.66,mg,80,0.53,5,10.6,3,,10154,確認済,2025年版・女性30-49・目安量,10154 ＜魚類＞ （さば類） まさば 生
panto,パントテン酸,オートミール,1.29,mg,40,0.52,5,10.4,3,,01004,確認済,2025年版・女性30-49・目安量,01004 えんばく オートミール
panto,パントテン酸,豚ばら,0.64,mg,80,0.51,5,10.2,3,,11129,確認済,2025年版・女性30-49・目安量,11129 ＜畜肉類＞ ぶた ［大型種肉］ ばら 脂身つき 生
panto,パントテン酸,じゃがいも,0.5,mg,100,0.5,5,10.0,3,,02017,確認済,2025年版・女性30-49・目安量,02017 ＜いも類＞ じゃがいも 塊茎 皮なし 生
protein,たんぱく質,かつお,25.8,g,80,20.64,50,41.3,1,,10086,確認済,2025年版・女性30-49・推奨量,10086 ＜魚類＞ （かつお類） かつお 春獲り 生
protein,たんぱく質,牛もも,20.5,g,100,20.5,50.0,41.0,1,,11048,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜畜肉類＞ うし ［乳用肥育牛肉］ もも 皮下脂肪なし 生／目安量は暫定
protein,たんぱく質,まぐろ,24.3,g,80,19.44,50,38.9,1,,10252,確認済,2025年版・女性30-49・推奨量,10252 ＜魚類＞ （まぐろ類） きはだ 生
protein,たんぱく質,鮭,22.3,g,80,17.84,50,35.7,1,,10134,確認済,2025年版・女性30-49・推奨量,10134 ＜魚類＞ （さけ・ます類） しろさけ 生
protein,たんぱく質,ぶり,21.4,g,80,17.12,50.0,34.2,1,,10241,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜魚類＞ ぶり 成魚 生／目安量は暫定
protein,たんぱく質,鶏むね,21.3,g,80,17.04,50,34.1,1,,11219,確認済,2025年版・女性30-49・推奨量,11219 ＜鳥肉類＞ にわとり ［若どり・主品目］ むね 皮つき 生
protein,たんぱく質,大豆,33.8,g,50,16.9,50,33.8,1,,04023,確認済,2025年版・女性30-49・推奨量,04023 だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾
protein,たんぱく質,さば,20.6,g,80,16.48,50,33.0,1,,10154,確認済,2025年版・女性30-49・推奨量,10154 ＜魚類＞ （さば類） まさば 生
protein,たんぱく質,豚もも,20.5,g,80,16.4,50,32.8,1,,11130,確認済,2025年版・女性30-49・推奨量,11130 ＜畜肉類＞ ぶた ［大型種肉］ もも 脂身つき 生
protein,たんぱく質,豚ロース,19.3,g,80,15.44,50,30.9,1,,11123,確認済,2025年版・女性30-49・推奨量,11123 ＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき 生
protein,たんぱく質,いわし,19.2,g,80,15.36,50.0,30.7,1,,10047,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜魚類＞ （いわし類） まいわし 生／目安量は暫定
protein,たんぱく質,さんま,18.1,g,80,14.48,50,29.0,2,,10173,確認済,2025年版・女性30-49・推奨量,10173 ＜魚類＞ さんま 皮つき 生
protein,たんぱく質,ささみ,23.9,g,60,14.34,50,28.7,2,,11227,確認済,2025年版・女性30-49・推奨量,11227 ＜鳥肉類＞ にわとり ［若どり・副品目］ ささみ 生
protein,たんぱく質,いか,17.9,g,80,14.32,50.0,28.6,2,,10345,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜いか・たこ類＞ （いか類） するめいか 生／目安量は暫定
protein,たんぱく質,豚ひき肉,17.7,g,80,14.16,50,28.3,2,,11163,確認済,2025年版・女性30-49・推奨量,11163 ＜畜肉類＞ ぶた ［ひき肉］ 生
